module           : False
lamda            : 256
regularize_to    : other
attack_to        : other
loss_type        : sim
advtrain_type    : Rep
train_type       : contrastive
lr               : 0.1
lr_multiplier    : 15.0
decay            : 1e-06
dataset          : cifar-10
load_checkpoint  : ckpt_200epochs.t7
resume           : True
model            : ResNet18
name             : Run3
seed             : 0
batch_size       : 256
epoch            : 101
color_jitter_strength : 0.5
temperature      : 0.5
local_rank       : 0
ngpu             : 1
min              : 0.0
max              : 1.0
attack_type      : linf
epsilon          : 0.0314
alpha            : 0.007
k                : 7
random_start     : True
==> Preparing data..
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./Data/cifar-10-python.tar.gz
Extracting ./Data/cifar-10-python.tar.gz to ./Data
Files already downloaded and verified
==> Building model..
torch.Size([1, 512])
ResNet18 is loading ...
Representation attack info ...
Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_True
Using CUDA..
Training info...
results/log_Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256_0
Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256

Epoch: 0
 [>.....................................................................................]  Step: 19s723ms | Tot: 0ms | Loss: 10.592 | SimLoss: 10.572 | Adv: 0.02 1/196 
 [>.....................................................................................]  Step: 1s842ms | Tot: 1s843ms | Loss: 10.572 | SimLoss: 10.551 | Adv: 0.02 2/196 
 [>.....................................................................................]  Step: 1s840ms | Tot: 3s683ms | Loss: 10.542 | SimLoss: 10.522 | Adv: 0.02 3/196 
 [=>....................................................................................]  Step: 1s839ms | Tot: 5s523ms | Loss: 10.545 | SimLoss: 10.524 | Adv: 0.02 4/196 
 [=>....................................................................................]  Step: 1s844ms | Tot: 7s367ms | Loss: 10.530 | SimLoss: 10.510 | Adv: 0.02 5/196 
 [==>...................................................................................]  Step: 1s837ms | Tot: 9s205ms | Loss: 10.532 | SimLoss: 10.512 | Adv: 0.02 6/196 
 [==>...................................................................................]  Step: 1s839ms | Tot: 11s44ms | Loss: 10.528 | SimLoss: 10.507 | Adv: 0.02 7/196 
 [===>..................................................................................]  Step: 1s839ms | Tot: 12s884ms | Loss: 10.522 | SimLoss: 10.502 | Adv: 0.02 8/196 
 [===>..................................................................................]  Step: 1s839ms | Tot: 14s723ms | Loss: 10.532 | SimLoss: 10.512 | Adv: 0.02 9/196 
 [===>..................................................................................]  Step: 1s839ms | Tot: 16s563ms | Loss: 10.530 | SimLoss: 10.509 | Adv: 0.02 10/196 
 [====>.................................................................................]  Step: 1s835ms | Tot: 18s399ms | Loss: 10.527 | SimLoss: 10.507 | Adv: 0.02 11/196 
